gene,mutation_count,sample_count,mutation_percentage,cna_count,cna_percentage
APC,306,426,71.83098591549296,146,35.872235872235876
TP53,236,426,55.39906103286385,244,59.95085995085995
KRAS,183,426,42.95774647887324,139,34.15233415233415
MUC16,144,426,33.80281690140845,107,26.289926289926292
PIK3CA,125,426,29.342723004694836,99,24.324324324324326
FAT4,116,426,27.230046948356808,142,34.88943488943489
CSMD3,92,426,21.5962441314554,242,59.45945945945946
FAT3,91,426,21.36150234741784,109,26.78132678132678
LRP1B,89,426,20.89201877934272,108,26.535626535626534
PCLO,85,426,19.953051643192488,207,50.859950859950864
FBXW7,74,426,17.370892018779344,148,36.36363636363637
KMT2D,69,426,16.19718309859155,132,32.432432432432435
COL6A3,68,426,15.96244131455399,102,25.061425061425062
FLG,65,426,15.258215962441316,131,32.186732186732186
RNF43,63,426,14.788732394366196,145,35.62653562653563
BRAF,62,426,14.553990610328638,213,52.33415233415234
PTPRT,62,426,14.553990610328638,301,73.95577395577395
SOX9,62,426,14.553990610328638,151,37.1007371007371
ARID1A,61,426,14.319248826291082,159,39.06633906633907
AMER1,60,426,14.084507042253522,123,30.22113022113022
ZFHX3,59,426,13.849765258215962,122,29.975429975429975
NBEA,57,426,13.380281690140844,253,62.16216216216216
ATM,56,426,13.145539906103288,114,28.00982800982801
PDZD2,56,426,13.145539906103288,126,30.95823095823096
KMT2C,55,426,12.910798122065728,213,52.33415233415234
ROBO2,55,426,12.910798122065728,92,22.604422604422606
RNF213,55,426,12.910798122065728,150,36.85503685503686
KMT2B,54,426,12.676056338028168,115,28.255528255528255
PRKDC,54,426,12.676056338028168,230,56.51105651105651
FAT2,54,426,12.676056338028168,112,27.51842751842752
TCF7L2,53,426,12.44131455399061,121,29.72972972972973
ROBO1,53,426,12.44131455399061,96,23.587223587223587
TNC,53,426,12.44131455399061,111,27.27272727272727
LRRK2,52,426,12.206572769953052,133,32.67813267813268
COL6A6,52,426,12.206572769953052,88,21.62162162162162
FAT1,52,426,12.206572769953052,160,39.31203931203931
ANKRD11,52,426,12.206572769953052,130,31.941031941031937
ERBB4,51,426,11.971830985915492,95,23.34152334152334
ACVR2A,50,426,11.737089201877934,100,24.57002457002457
GRIN2A,50,426,11.737089201877934,126,30.95823095823096
PLEC,50,426,11.737089201877934,247,60.68796068796068
CHD7,49,426,11.502347417840376,233,57.24815724815725
SMAD4,49,426,11.502347417840376,273,67.07616707616708
TRRAP,49,426,11.502347417840376,213,52.33415233415234
ASPM,49,426,11.502347417840376,137,33.660933660933665
PTPRS,48,426,11.267605633802818,115,28.255528255528255
RELN,48,426,11.267605633802818,208,51.105651105651106
NIPBL,48,426,11.267605633802818,124,30.46683046683047
CREBBP,47,426,11.032863849765258,135,33.169533169533175
CDH10,46,426,10.7981220657277,122,29.975429975429975
AKAP9,45,426,10.56338028169014,211,51.842751842751845
CNTNAP2,45,426,10.56338028169014,217,53.31695331695332
KMT2A,44,426,10.328638497652582,109,26.78132678132678
TAF1L,44,426,10.328638497652582,124,30.46683046683047
ROS1,43,426,10.093896713615024,116,28.501228501228503
CTNNA2,43,426,10.093896713615024,90,22.11302211302211
EP400,43,426,10.093896713615024,134,32.923832923832926
BIRC6,43,426,10.093896713615024,88,21.62162162162162
PEG3,43,426,10.093896713615024,121,29.72972972972973
EPHA5,42,426,9.859154929577464,135,33.169533169533175
PREX2,42,426,9.859154929577464,234,57.49385749385749
MYH9,42,426,9.859154929577464,145,35.62653562653563
CARD11,42,426,9.859154929577464,236,57.98525798525799
MTOR,42,426,9.859154929577464,149,36.60933660933661
SPEN,41,426,9.624413145539906,153,37.59213759213759
CHD4,41,426,9.624413145539906,140,34.3980343980344
BCL9L,41,426,9.624413145539906,108,26.535626535626534
ALK,41,426,9.624413145539906,89,21.867321867321866
MKI67,41,426,9.624413145539906,110,27.027027027027028
FBN2,41,426,9.624413145539906,129,31.695331695331696
ANK1,40,426,9.389671361502346,225,55.28255528255528
BCORL1,40,426,9.389671361502346,122,29.975429975429975
FAM47C,40,426,9.389671361502346,126,30.95823095823096
CDH11,40,426,9.389671361502346,121,29.72972972972973
FMN2,40,426,9.389671361502346,142,34.88943488943489
SLIT3,40,426,9.389671361502346,113,27.764127764127768
ZNF292,39,426,9.15492957746479,116,28.501228501228503
MGAM,39,426,9.15492957746479,213,52.33415233415234
DCC,39,426,9.15492957746479,271,66.58476658476658
FLNA,39,426,9.15492957746479,122,29.975429975429975
MBD6,39,426,9.15492957746479,132,32.432432432432435
ZBTB20,38,426,8.92018779342723,96,23.587223587223587
MED12,38,426,8.92018779342723,119,29.238329238329236
CDH4,38,426,8.92018779342723,298,73.21867321867322
NCOR2,38,426,8.92018779342723,133,32.67813267813268
REV3L,38,426,8.92018779342723,115,28.255528255528255
ADGRG4,37,426,8.685446009389672,0,0.0
NOTCH1,37,426,8.685446009389672,118,28.992628992628994
BCL9,37,426,8.685446009389672,138,33.90663390663391
MYH11,37,426,8.685446009389672,127,31.203931203931205
NCOR1,37,426,8.685446009389672,240,58.96805896805897
HSPG2,37,426,8.685446009389672,156,38.32923832923833
PTPN13,36,426,8.450704225352112,138,33.90663390663391
PTPRK,36,426,8.450704225352112,121,29.72972972972973
PRUNE2,36,426,8.450704225352112,119,29.238329238329236
MGA,36,426,8.450704225352112,171,42.01474201474201
USP9X,36,426,8.450704225352112,127,31.203931203931205
CACNA1D,36,426,8.450704225352112,99,24.324324324324326
ATP2B3,36,426,8.450704225352112,123,30.22113022113022
NRG1,36,426,8.450704225352112,254,62.40786240786241
SMARCA4,35,426,8.215962441314554,109,26.78132678132678
WNK2,35,426,8.215962441314554,120,29.484029484029485
KIAA1549,35,426,8.215962441314554,213,52.33415233415234
EPHA3,35,426,8.215962441314554,94,23.095823095823096
BRCA2,35,426,8.215962441314554,252,61.91646191646192
CUX1,34,426,7.981220657276995,211,51.842751842751845
SZT2,34,426,7.981220657276995,124,30.46683046683047
MIDEAS,34,426,7.981220657276995,0,0.0
KSR2,34,426,7.981220657276995,135,33.169533169533175
FLT4,34,426,7.981220657276995,117,28.746928746928745
CTNND2,34,426,7.981220657276995,124,30.46683046683047
ARID1B,34,426,7.981220657276995,116,28.501228501228503
POLQ,34,426,7.981220657276995,86,21.13022113022113
BCOR,34,426,7.981220657276995,128,31.44963144963145
ATRX,33,426,7.746478873239436,120,29.484029484029485
ARID2,33,426,7.746478873239436,130,31.941031941031937
FAM135B,33,426,7.746478873239436,246,60.44226044226044
MAGI2,33,426,7.746478873239436,209,51.35135135135135
CAD,33,426,7.746478873239436,90,22.11302211302211
DSP,33,426,7.746478873239436,120,29.484029484029485
NOTCH3,33,426,7.746478873239436,107,26.289926289926292
CAMTA1,33,426,7.746478873239436,153,37.59213759213759
UBR5,33,426,7.746478873239436,242,59.45945945945946
IRS4,33,426,7.746478873239436,119,29.238329238329236
TNRC18,33,426,7.746478873239436,236,57.98525798525799
MUC6,33,426,7.746478873239436,103,25.307125307125304
MYO5A,33,426,7.746478873239436,162,39.80343980343981
NF1,32,426,7.511737089201878,148,36.36363636363637
POLE,32,426,7.511737089201878,137,33.660933660933665
PIK3CG,32,426,7.511737089201878,210,51.5970515970516
TET1,32,426,7.511737089201878,103,25.307125307125304
SLIT2,32,426,7.511737089201878,140,34.3980343980344
MUC4,32,426,7.511737089201878,103,25.307125307125304
CASZ1,32,426,7.511737089201878,150,36.85503685503686
AFF3,32,426,7.511737089201878,87,21.375921375921376
ADAMTS9,32,426,7.511737089201878,93,22.85012285012285
LPA,32,426,7.511737089201878,113,27.764127764127768
CDK12,32,426,7.511737089201878,147,36.11793611793612
LARP4B,32,426,7.511737089201878,112,27.51842751842752
POLD1,31,426,7.276995305164319,121,29.72972972972973
AR,31,426,7.276995305164319,120,29.484029484029485
PTPN14,31,426,7.276995305164319,136,33.415233415233416
TET3,31,426,7.276995305164319,85,20.884520884520885
PTPRC,31,426,7.276995305164319,138,33.90663390663391
PTCH1,31,426,7.276995305164319,119,29.238329238329236
ASXL1,31,426,7.276995305164319,296,72.72727272727273
NACA,31,426,7.276995305164319,131,32.186732186732186
CDH2,31,426,7.276995305164319,260,63.882063882063875
EP300,31,426,7.276995305164319,148,36.36363636363637
PLCG2,31,426,7.276995305164319,127,31.203931203931205
ARHGEF10,31,426,7.276995305164319,254,62.40786240786241
AXIN2,30,426,7.042253521126761,149,36.60933660933661
PTEN,30,426,7.042253521126761,113,27.764127764127768
NSD1,30,426,7.042253521126761,119,29.238329238329236
ZNF521,30,426,7.042253521126761,254,62.40786240786241
CNTRL,30,426,7.042253521126761,113,27.764127764127768
CTNNB1,30,426,7.042253521126761,94,23.095823095823096
NRK,30,426,7.042253521126761,118,28.992628992628994
CIC,30,426,7.042253521126761,119,29.238329238329236
CLIP1,30,426,7.042253521126761,132,32.432432432432435
EPHB1,30,426,7.042253521126761,91,22.358722358722357
PDGFRA,30,426,7.042253521126761,130,31.941031941031937
ARHGAP35,30,426,7.042253521126761,120,29.484029484029485
TLE4,30,426,7.042253521126761,119,29.238329238329236
RANBP2,29,426,6.807511737089202,88,21.62162162162162
COL1A1,29,426,6.807511737089202,136,33.415233415233416
CIITA,29,426,6.807511737089202,126,30.95823095823096
DCAF12L2,29,426,6.807511737089202,118,28.992628992628994
LRP5,29,426,6.807511737089202,102,25.061425061425062
KDM2B,29,426,6.807511737089202,132,32.432432432432435
SETBP1,29,426,6.807511737089202,266,65.35626535626535
PRDM16,28,426,6.572769953051644,147,36.11793611793612
GLI1,28,426,6.572769953051644,132,32.432432432432435
COL3A1,28,426,6.572769953051644,96,23.587223587223587
BLM,28,426,6.572769953051644,160,39.31203931203931
PIK3R1,28,426,6.572769953051644,130,31.941031941031937
SETD2,28,426,6.572769953051644,97,23.832923832923832
PRDM2,28,426,6.572769953051644,153,37.59213759213759
SAMD9L,28,426,6.572769953051644,211,51.842751842751845
PIK3C2G,28,426,6.572769953051644,141,34.64373464373464
MECOM,28,426,6.572769953051644,99,24.324324324324326
PDS5B,27,426,6.338028169014084,253,62.16216216216216
SLX4,27,426,6.338028169014084,135,33.169533169533175
MYO18A,27,426,6.338028169014084,152,37.34643734643734
ACVR1B,27,426,6.338028169014084,131,32.186732186732186
PDGFRB,27,426,6.338028169014084,112,27.51842751842752
STAG1,27,426,6.338028169014084,93,22.85012285012285
RET,27,426,6.338028169014084,95,23.34152334152334
SP140,27,426,6.338028169014084,104,25.552825552825553
INPPL1,27,426,6.338028169014084,104,25.552825552825553
COL2A1,27,426,6.338028169014084,133,32.67813267813268
MDGA2,27,426,6.338028169014084,164,40.2948402948403
BAZ1A,27,426,6.338028169014084,163,40.04914004914005
PRPF8,27,426,6.338028169014084,239,58.72235872235873
IRS1,27,426,6.338028169014084,100,24.57002457002457
NIN,27,426,6.338028169014084,161,39.55773955773956
ABCB1,27,426,6.338028169014084,210,51.5970515970516
FANCM,27,426,6.338028169014084,165,40.54054054054054
USP7,26,426,6.103286384976526,126,30.95823095823096
RPL22,26,426,6.103286384976526,151,37.1007371007371
PLXNC1,26,426,6.103286384976526,139,34.15233415233415
GRM3,26,426,6.103286384976526,209,51.35135135135135
KDR,26,426,6.103286384976526,129,31.695331695331696
SETD1A,26,426,6.103286384976526,132,32.432432432432435
MAP4K4,26,426,6.103286384976526,84,20.638820638820636
LIFR,26,426,6.103286384976526,122,29.975429975429975
NOTCH2,26,426,6.103286384976526,144,35.38083538083538
SPECC1,26,426,6.103286384976526,224,55.03685503685504
MSH6,26,426,6.103286384976526,92,22.604422604422606
ZNF208,26,426,6.103286384976526,108,26.535626535626534
SIN3A,26,426,6.103286384976526,166,40.78624078624078
KIT,26,426,6.103286384976526,130,31.941031941031937
SAMD9,26,426,6.103286384976526,211,51.842751842751845
ATR,26,426,6.103286384976526,91,22.358722358722357
CSPG4,26,426,6.103286384976526,165,40.54054054054054
PTPRD,26,426,6.103286384976526,136,33.415233415233416
PRKD1,26,426,6.103286384976526,164,40.2948402948403
NTRK2,26,426,6.103286384976526,120,29.484029484029485
